ID|Mosha|Udhetime_biznesore|Departamenti|Distanca_nga_shtepija|Fusha_edukimit|Ambientimi_punetorit|Gjinia|Involvimi_ne_detyra_pergjegjesi|Niveli_punes|Roli|Satisfaksioni_punedhenesit|Statusi_martesor|Ardhurat_mujore|Numri_kompanive_qe_kapunuar|OverTime|Ngritja_rroges_perqindje|Vite_pervoje_pune|Numri_trajnimeve_vitin_kaluar|Bilanci_pune_jete|Vitet_me_kompanine|Vitet_ne_rolin_aktual|Vitet_qe_nga_ngritja_pozites|Vitet_me_menagjerin_aktual|Largimi
357|42|Travel_Rarely|Research & Development|2|Other|1|Male|2|2|Healthcare Representative|4|Single|6781|3|No|23|14|6|3|1|0|0|0|No
358|21|Travel_Frequently|Sales|1|Technical Degree|1|Female|2|1|Sales Representative|2|Single|2174|1|Yes|11|3|3|3|3|2|1|2|Yes
359|36|Non-Travel|Sales|1|Medical|4|Female|3|2|Sales Executive|4|Single|6653|4|No|15|7|6|3|1|0|0|0|No
360|36|Travel_Frequently|Sales|3|Medical|1|Male|2|3|Sales Executive|4|Married|9699|4|No|11|16|2|3|13|9|1|12|No
361|57|Travel_Rarely|Research & Development|1|Medical|4|Male|3|2|Healthcare Representative|3|Married|6755|2|No|11|15|2|3|3|2|1|2|No
362|40|Travel_Rarely|Research & Development|10|Life Sciences|4|Female|4|1|Laboratory Technician|3|Married|2213|3|Yes|13|10|3|3|7|7|1|7|No
363|21|Non-Travel|Sales|9|Medical|1|Male|3|1|Sales Representative|4|Single|2610|1|No|24|3|3|2|3|2|2|2|No
364|33|Travel_Rarely|Sales|5|Marketing|4|Female|3|1|Sales Representative|3|Single|2851|1|Yes|13|1|2|3|1|0|0|0|Yes
365|37|Travel_Rarely|Research & Development|10|Medical|3|Female|3|1|Laboratory Technician|1|Married|3452|6|No|20|17|3|3|5|4|0|3|No
366|46|Non-Travel|Research & Development|7|Medical|3|Female|3|2|Manufacturing Director|3|Married|5258|2|No|14|7|2|4|1|0|0|0|No
367|41|Travel_Frequently|Sales|4|Marketing|1|Male|3|2|Sales Executive|2|Single|9355|1|No|18|8|5|3|8|7|7|7|Yes
368|50|Travel_Rarely|Research & Development|10|Technical Degree|4|Male|2|3|Healthcare Representative|4|Single|10496|6|No|15|20|2|3|4|3|1|3|No
369|40|Travel_Rarely|Sales|22|Marketing|3|Male|2|2|Sales Executive|3|Married|6380|2|Yes|12|8|6|3|6|4|1|0|Yes
370|31|Travel_Rarely|Research & Development|9|Life Sciences|3|Male|2|1|Research Scientist|2|Single|2657|0|Yes|16|3|5|3|2|2|2|2|No
371|21|Travel_Rarely|Sales|12|Life Sciences|3|Female|4|1|Sales Representative|2|Single|2716|1|No|15|1|0|3|1|0|0|0|Yes
372|29|Travel_Rarely|Research & Development|23|Life Sciences|4|Male|3|1|Research Scientist|4|Single|2201|9|No|16|6|4|3|3|2|1|2|No
373|35|Travel_Rarely|Research & Development|9|Life Sciences|3|Male|2|2|Healthcare Representative|2|Single|6540|9|No|19|10|5|3|1|1|0|0|No
374|27|Travel_Rarely|Research & Development|1|Medical|4|Male|3|1|Laboratory Technician|2|Divorced|3816|1|No|11|5|2|3|5|2|0|4|No
375|28|Travel_Rarely|Sales|9|Life Sciences|2|Male|3|2|Sales Executive|4|Single|5253|1|No|16|7|1|3|7|5|0|7|No
376|49|Travel_Rarely|Research & Development|7|Other|2|Male|2|3|Healthcare Representative|3|Single|10965|8|No|24|26|2|3|5|2|0|0|No
377|51|Travel_Rarely|Sales|14|Life Sciences|3|Female|3|2|Sales Executive|4|Married|4936|4|No|11|18|2|2|7|7|0|7|No
378|36|Travel_Rarely|Research & Development|2|Life Sciences|4|Female|3|1|Research Scientist|3|Married|2543|4|No|13|6|3|3|2|2|2|2|No
379|34|Non-Travel|Sales|19|Marketing|1|Male|4|2|Sales Executive|4|Single|5304|8|Yes|13|9|3|2|5|2|0|4|Yes
380|55|Travel_Rarely|Research & Development|2|Life Sciences|3|Female|3|4|Manager|4|Single|16659|2|Yes|13|30|2|3|5|4|1|2|No
381|24|Travel_Rarely|Sales|10|Marketing|4|Female|3|2|Sales Executive|3|Divorced|4260|1|Yes|12|5|2|4|5|2|0|3|No
382|30|Travel_Rarely|Sales|2|Technical Degree|3|Male|3|1|Sales Representative|2|Married|2476|1|No|18|1|3|3|1|0|0|0|No
383|26|Travel_Frequently|Research & Development|3|Technical Degree|3|Male|3|1|Research Scientist|1|Single|3102|0|No|22|7|2|3|6|4|0|4|Yes
384|22|Travel_Rarely|Research & Development|11|Medical|1|Female|3|1|Research Scientist|2|Married|2244|1|No|13|2|1|3|2|1|1|2|No
385|36|Travel_Rarely|Sales|2|Medical|2|Male|2|3|Sales Executive|3|Married|7596|1|No|13|10|2|3|10|9|9|0|No
386|30|Travel_Frequently|Research & Development|4|Technical Degree|3|Male|3|1|Research Scientist|4|Single|2285|9|Yes|23|3|4|3|1|0|0|0|Yes
387|37|Travel_Rarely|Research & Development|14|Life Sciences|4|Female|3|1|Laboratory Technician|1|Divorced|3034|1|No|12|18|2|2|18|7|12|17|No
388|40|Travel_Rarely|Sales|2|Marketing|4|Female|3|2|Sales Executive|2|Divorced|5715|7|No|12|8|5|3|5|4|1|3|No
389|42|Travel_Rarely|Research & Development|1|Life Sciences|2|Female|3|1|Laboratory Technician|1|Divorced|2576|3|No|16|8|5|3|5|2|1|2|No
390|37|Travel_Rarely|Research & Development|10|Life Sciences|3|Male|3|2|Manufacturing Director|2|Single|4197|2|Yes|12|18|2|2|1|0|0|1|No
391|43|Travel_Rarely|Research & Development|12|Life Sciences|1|Male|2|4|Research Director|2|Divorced|14336|1|No|11|25|3|3|25|10|3|9|No
392|40|Travel_Rarely|Research & Development|2|Medical|2|Female|2|2|Laboratory Technician|3|Married|3448|6|No|22|20|3|3|1|0|0|0|No
393|54|Travel_Rarely|Research & Development|5|Medical|1|Male|3|5|Research Director|1|Married|19406|4|No|11|24|4|2|4|2|1|2|No
394|34|Non-Travel|Sales|4|Marketing|3|Female|3|2|Sales Executive|3|Married|6538|9|No|15|6|3|3|3|2|1|2|No
395|31|Travel_Rarely|Research & Development|7|Medical|2|Female|3|2|Manufacturing Director|1|Married|4306|1|No|12|13|5|1|13|10|3|12|No
396|43|Travel_Frequently|Research & Development|21|Medical|4|Male|3|1|Laboratory Technician|4|Married|2258|7|No|20|8|1|3|3|2|1|2|No
397|43|Travel_Rarely|Research & Development|8|Other|3|Female|3|2|Healthcare Representative|3|Divorced|4522|4|Yes|14|8|3|3|5|2|0|2|No
398|25|Travel_Rarely|Sales|4|Life Sciences|2|Female|2|2|Sales Executive|4|Single|4487|1|Yes|11|5|3|3|5|4|1|3|No
399|37|Non-Travel|Research & Development|25|Medical|2|Female|3|2|Research Scientist|3|Married|4449|3|Yes|15|15|2|3|13|11|10|7|No
400|31|Travel_Rarely|Research & Development|1|Life Sciences|4|Male|2|1|Laboratory Technician|1|Married|2218|1|No|12|4|3|3|4|2|3|2|No
401|39|Travel_Frequently|Research & Development|1|Life Sciences|2|Male|3|5|Manager|3|Divorced|19197|1|Yes|14|21|3|3|21|8|1|6|No
402|56|Travel_Frequently|Sales|6|Life Sciences|3|Female|4|4|Sales Executive|1|Married|13212|9|No|11|36|0|2|7|7|7|7|No
403|30|Travel_Rarely|Sales|12|Technical Degree|2|Female|3|2|Sales Executive|3|Single|6577|0|No|11|6|6|3|5|4|4|4|No
404|41|Travel_Rarely|Sales|1|Marketing|2|Male|4|3|Sales Executive|1|Married|8392|1|No|16|10|2|3|10|7|0|7|No
405|28|Travel_Rarely|Research & Development|17|Medical|3|Male|3|2|Laboratory Technician|1|Divorced|4558|1|No|12|10|2|3|10|0|1|8|No
406|25|Travel_Rarely|Research & Development|3|Medical|1|Male|3|1|Laboratory Technician|1|Married|4031|5|No|13|6|5|3|2|2|0|2|Yes
407|52|Travel_Rarely|Research & Development|3|Medical|4|Male|2|3|Manufacturing Director|3|Married|7969|2|Yes|14|28|4|3|5|4|0|4|No
408|45|Travel_Rarely|Research & Development|10|Life Sciences|1|Male|3|1|Research Scientist|4|Married|2654|3|No|21|8|3|2|2|2|0|2|No
409|52|Travel_Rarely|Research & Development|4|Life Sciences|4|Female|3|4|Manager|4|Married|16555|2|No|13|31|2|1|5|2|1|4|No
410|42|Travel_Frequently|Research & Development|29|Life Sciences|1|Female|3|2|Research Scientist|3|Divorced|4556|2|No|11|19|3|3|5|4|0|2|No
411|30|Travel_Rarely|Research & Development|2|Life Sciences|3|Female|1|2|Manufacturing Director|4|Single|6091|2|No|20|11|2|3|5|4|0|2|No
412|60|Travel_Rarely|Research & Development|7|Life Sciences|1|Female|3|5|Manager|1|Married|19566|5|No|11|33|5|1|29|8|11|10|No
413|46|Travel_Rarely|Research & Development|18|Medical|3|Female|3|2|Manufacturing Director|3|Divorced|4810|2|No|14|19|5|2|10|7|0|8|No
414|42|Travel_Frequently|Research & Development|28|Technical Degree|4|Female|2|2|Healthcare Representative|4|Married|4523|0|No|11|7|4|4|6|5|0|4|No
415|24|Travel_Rarely|Sales|1|Technical Degree|1|Female|3|1|Sales Representative|2|Single|3202|1|Yes|16|6|4|3|5|3|1|4|Yes
416|34|Travel_Frequently|Sales|6|Marketing|4|Female|1|1|Sales Representative|3|Divorced|2351|0|No|16|3|3|2|2|2|1|0|Yes
417|38|Travel_Frequently|Research & Development|2|Life Sciences|4|Male|3|1|Laboratory Technician|4|Married|1702|1|Yes|23|1|3|3|1|0|0|0|No
418|40|Travel_Rarely|Sales|2|Life Sciences|3|Female|3|5|Manager|3|Married|18041|0|No|14|21|2|3|20|15|1|12|No
419|26|Travel_Rarely|Research & Development|23|Life Sciences|1|Female|3|1|Research Scientist|4|Divorced|2886|1|No|22|3|3|1|3|2|0|2|No
420|30|Non-Travel|Research & Development|3|Life Sciences|3|Male|3|1|Laboratory Technician|4|Married|2097|4|No|15|9|3|1|5|3|1|4|No
421|29|Travel_Rarely|Research & Development|3|Medical|2|Male|2|3|Research Director|3|Married|11935|1|No|18|10|2|3|10|2|0|7|No
422|29|Travel_Rarely|Research & Development|25|Technical Degree|3|Female|2|1|Research Scientist|2|Married|2546|5|No|16|6|2|4|2|2|1|1|Yes
423|19|Travel_Rarely|Human Resources|2|Technical Degree|1|Male|2|1|Human Resources|4|Single|2564|1|No|12|1|3|4|1|0|0|0|Yes
424|30|Non-Travel|Sales|22|Other|3|Female|3|3|Sales Executive|1|Married|8412|0|No|11|10|3|3|9|8|7|8|No
425|57|Travel_Rarely|Sales|29|Marketing|1|Male|2|4|Manager|4|Divorced|14118|3|No|12|32|3|2|1|0|0|0|No
426|50|Travel_Rarely|Research & Development|29|Life Sciences|2|Male|2|4|Manager|3|Married|17046|0|No|15|28|2|3|27|10|15|7|No
427|30|Non-Travel|Research & Development|2|Medical|3|Female|3|1|Laboratory Technician|4|Single|2564|0|No|14|12|2|2|11|7|6|7|No
428|60|Travel_Frequently|Sales|28|Marketing|3|Female|2|3|Sales Executive|1|Married|10266|4|No|19|22|5|4|18|13|13|11|No
429|47|Travel_Rarely|Research & Development|2|Medical|1|Female|3|2|Manufacturing Director|4|Divorced|5070|5|No|13|20|2|3|5|0|0|4|No
430|46|Travel_Rarely|Research & Development|2|Life Sciences|1|Male|3|4|Research Director|3|Married|17861|6|No|13|26|2|1|3|2|0|1|No
431|35|Travel_Rarely|Research & Development|22|Life Sciences|4|Male|1|1|Laboratory Technician|3|Single|4230|0|No|15|6|2|3|5|4|4|3|No
432|54|Travel_Rarely|Research & Development|8|Life Sciences|3|Female|3|2|Laboratory Technician|3|Single|3780|7|No|11|19|3|3|1|0|0|0|No
433|34|Travel_Rarely|Research & Development|2|Life Sciences|4|Male|2|1|Research Scientist|3|Divorced|2768|3|No|12|14|3|3|7|3|5|7|No
434|46|Travel_Rarely|Sales|10|Marketing|3|Female|2|3|Sales Executive|4|Married|9071|2|Yes|19|15|3|3|3|2|1|2|No
435|31|Travel_Rarely|Research & Development|9|Life Sciences|3|Male|3|3|Manufacturing Director|2|Divorced|10648|1|No|25|13|6|4|13|8|0|8|No
436|33|Travel_Rarely|Research & Development|15|Medical|2|Male|3|3|Manager|3|Married|13610|7|Yes|12|15|2|4|7|6|7|7|Yes
437|33|Travel_Rarely|Research & Development|10|Medical|1|Male|1|1|Laboratory Technician|4|Divorced|3408|7|No|13|8|2|3|4|3|1|3|Yes
438|30|Travel_Rarely|Sales|7|Marketing|4|Male|3|1|Sales Representative|2|Single|2983|0|No|14|4|3|3|3|2|1|2|No
439|35|Travel_Rarely|Research & Development|16|Life Sciences|4|Male|3|3|Healthcare Representative|3|Married|7632|4|Yes|12|10|2|3|8|7|0|0|No
440|31|Travel_Frequently|Research & Development|20|Life Sciences|1|Male|3|3|Healthcare Representative|3|Married|9824|3|No|12|12|2|3|1|0|0|0|Yes
441|34|Travel_Frequently|Human Resources|23|Human Resources|2|Female|3|3|Human Resources|1|Divorced|9950|9|Yes|15|11|2|3|3|2|0|2|Yes
442|42|Travel_Frequently|Research & Development|5|Other|2|Male|3|1|Laboratory Technician|3|Married|2093|4|No|17|8|4|3|2|2|2|0|No
443|36|Non-Travel|Sales|10|Medical|2|Male|3|3|Sales Executive|4|Single|9980|1|No|14|10|3|2|10|3|9|7|No
444|22|Travel_Frequently|Research & Development|4|Technical Degree|3|Male|2|1|Laboratory Technician|3|Single|3894|5|No|16|4|3|3|2|2|1|2|Yes
445|48|Travel_Rarely|Sales|2|Marketing|2|Female|3|2|Sales Executive|4|Married|4051|2|No|14|14|2|3|9|7|6|7|No
446|55|Travel_Rarely|Sales|18|Life Sciences|1|Female|3|4|Manager|2|Single|16835|3|No|23|37|2|3|10|9|7|7|No
447|41|Non-Travel|Sales|10|Life Sciences|4|Male|3|2|Sales Executive|4|Single|6230|7|No|14|16|3|3|14|3|1|10|No
448|35|Travel_Rarely|Sales|1|Marketing|2|Male|3|2|Sales Executive|3|Married|4717|9|No|11|15|2|3|11|9|6|9|No
449|40|Travel_Rarely|Research & Development|6|Life Sciences|2|Female|3|4|Manufacturing Director|3|Single|13237|7|No|15|22|3|3|20|6|5|13|No
450|39|Travel_Frequently|Research & Development|8|Life Sciences|3|Female|3|1|Laboratory Technician|3|Married|3755|1|No|11|8|3|3|8|3|0|7|No
451|31|Travel_Rarely|Sales|2|Life Sciences|2|Male|3|2|Sales Executive|4|Single|6582|4|Yes|13|10|2|4|6|5|0|5|No
452|42|Travel_Rarely|Research & Development|24|Medical|4|Male|3|3|Manufacturing Director|1|Married|7406|1|Yes|21|10|5|2|10|9|5|8|No
453|45|Travel_Rarely|Sales|2|Other|4|Male|3|2|Sales Executive|2|Married|4805|0|No|19|9|3|4|8|7|3|7|No
454|26|Travel_Frequently|Human Resources|17|Life Sciences|2|Female|3|1|Human Resources|3|Divorced|2741|0|Yes|11|8|2|2|7|7|1|0|Yes
455|29|Travel_Rarely|Research & Development|19|Technical Degree|4|Male|3|2|Manufacturing Director|4|Divorced|4262|4|No|12|8|2|4|3|2|1|2|No
456|33|Travel_Rarely|Research & Development|1|Medical|1|Female|4|4|Research Director|3|Divorced|16184|4|No|19|10|2|3|6|1|0|5|No
457|31|Travel_Rarely|Sales|7|Life Sciences|3|Male|2|3|Manager|4|Divorced|11557|9|No|21|10|3|2|5|4|0|1|No
458|18|Travel_Frequently|Sales|5|Marketing|2|Male|3|1|Sales Representative|2|Single|1878|1|Yes|14|0|3|3|0|0|0|0|Yes
459|40|Non-Travel|Sales|28|Other|3|Male|1|3|Sales Executive|1|Divorced|10932|3|No|15|20|2|3|1|0|0|1|No
460|41|Non-Travel|Research & Development|2|Other|1|Female|2|2|Healthcare Representative|3|Single|6811|2|Yes|17|10|3|3|8|7|0|7|No
461|26|Travel_Rarely|Sales|29|Medical|1|Male|3|2|Sales Executive|3|Divorced|4306|5|No|12|8|5|3|0|0|0|0|No
462|35|Travel_Rarely|Sales|1|Medical|1|Female|3|2|Sales Executive|3|Single|4859|1|No|16|5|3|3|5|4|0|3|No
463|34|Travel_Rarely|Sales|21|Life Sciences|4|Male|4|2|Sales Executive|4|Single|5337|1|No|12|10|3|3|10|7|5|7|No
464|26|Travel_Rarely|Research & Development|24|Technical Degree|3|Male|1|1|Laboratory Technician|4|Single|2340|1|Yes|18|1|3|1|1|0|0|0|Yes
465|37|Travel_Rarely|Research & Development|1|Technical Degree|2|Female|3|3|Manufacturing Director|4|Single|7491|4|No|17|12|3|4|6|5|1|2|No
466|46|Travel_Frequently|Research & Development|18|Medical|1|Female|3|3|Healthcare Representative|3|Married|10527|5|No|11|28|3|2|2|2|1|2|No
467|41|Travel_Rarely|Sales|2|Life Sciences|2|Female|3|4|Manager|1|Married|16595|7|No|16|22|2|3|18|16|11|8|No
468|37|Non-Travel|Sales|9|Medical|1|Male|3|3|Sales Executive|2|Divorced|8834|1|No|13|9|6|3|9|5|7|7|No
469|52|Travel_Rarely|Research & Development|6|Technical Degree|4|Male|3|2|Research Scientist|1|Divorced|5577|3|Yes|12|18|3|3|10|9|6|9|No
470|32|Non-Travel|Sales|11|Other|4|Male|4|2|Sales Executive|3|Married|4707|8|No|12|6|2|3|4|2|1|2|Yes
471|24|Travel_Frequently|Sales|24|Medical|4|Male|3|1|Sales Representative|4|Married|2400|0|No|13|3|3|3|2|2|2|1|No
472|38|Travel_Rarely|Research & Development|10|Medical|3|Female|3|2|Healthcare Representative|3|Married|9824|3|No|19|18|4|3|1|0|0|0|No
473|37|Travel_Rarely|Research & Development|1|Life Sciences|2|Female|3|2|Manufacturing Director|2|Married|6447|6|No|12|8|2|2|6|5|4|3|No
474|49|Travel_Rarely|Research & Development|18|Life Sciences|4|Male|2|5|Research Director|3|Divorced|19502|1|Yes|17|31|5|3|31|9|0|9|No
475|24|Travel_Rarely|Research & Development|23|Medical|2|Male|4|1|Research Scientist|4|Married|2725|1|Yes|11|6|3|3|6|5|1|4|No
476|26|Travel_Rarely|Sales|28|Marketing|1|Male|3|2|Sales Executive|2|Married|6272|1|No|20|6|5|4|5|3|1|4|No
477|24|Travel_Rarely|Research & Development|17|Other|4|Male|2|1|Laboratory Technician|2|Married|2127|1|No|21|1|2|3|1|0|0|0|No
478|50|Travel_Frequently|Human Resources|3|Medical|1|Male|3|5|Manager|2|Married|18200|1|No|11|32|2|3|32|5|10|7|No
479|25|Travel_Rarely|Sales|13|Medical|2|Male|3|1|Sales Representative|3|Married|2096|1|No|11|7|1|3|7|4|0|6|No
480|24|Travel_Frequently|Research & Development|7|Life Sciences|1|Female|3|1|Laboratory Technician|3|Married|2886|1|Yes|16|6|4|3|6|3|1|2|Yes
481|30|Travel_Frequently|Sales|12|Life Sciences|2|Male|2|1|Sales Representative|1|Married|2033|1|No|18|1|2|4|1|0|0|0|Yes
482|34|Travel_Rarely|Research & Development|1|Life Sciences|2|Male|2|1|Research Scientist|4|Married|3622|1|Yes|13|6|3|3|6|5|1|3|No
483|31|Travel_Rarely|Sales|13|Medical|2|Male|3|2|Sales Executive|1|Divorced|4233|2|No|17|9|2|1|3|1|1|2|Yes
484|35|Travel_Rarely|Research & Development|25|Other|1|Male|2|2|Laboratory Technician|4|Single|3681|4|No|14|9|3|3|3|2|0|2|No
485|31|Travel_Rarely|Sales|6|Medical|1|Male|4|2|Sales Executive|4|Divorced|5460|4|No|22|13|4|4|7|7|5|7|No
486|27|Travel_Rarely|Research & Development|6|Medical|1|Female|2|1|Research Scientist|3|Divorced|2187|0|No|12|6|5|2|5|3|0|3|No
487|37|Travel_Rarely|Sales|2|Marketing|4|Male|3|2|Sales Executive|3|Married|9602|4|Yes|11|17|3|2|3|0|1|0|No
488|20|Travel_Rarely|Research & Development|1|Life Sciences|4|Female|2|1|Research Scientist|2|Single|2836|1|No|13|1|0|4|1|0|0|0|No
489|42|Travel_Rarely|Research & Development|2|Life Sciences|3|Female|3|2|Healthcare Representative|4|Married|4089|1|No|13|10|4|3|10|2|2|2|No
490|43|Travel_Rarely|Research & Development|6|Other|2|Male|2|4|Research Director|4|Divorced|16627|4|Yes|14|21|3|2|1|0|0|0|No
491|38|Travel_Rarely|Research & Development|1|Life Sciences|3|Female|3|1|Research Scientist|1|Single|2619|3|No|17|8|3|2|0|0|0|0|No
492|43|Travel_Frequently|Research & Development|9|Medical|4|Male|3|2|Laboratory Technician|3|Divorced|5679|3|Yes|13|10|3|3|8|7|4|7|No
493|48|Travel_Rarely|Research & Development|1|Life Sciences|4|Female|2|4|Manager|1|Married|15402|7|No|11|21|3|1|3|2|0|2|No
494|44|Travel_Rarely|Human Resources|1|Life Sciences|1|Female|2|2|Human Resources|3|Single|5985|4|No|11|10|1|4|2|2|0|2|No
495|34|Travel_Rarely|Sales|14|Technical Degree|3|Female|3|1|Sales Representative|3|Divorced|2579|1|Yes|18|8|3|3|8|2|0|6|No
496|27|Travel_Rarely|Sales|2|Marketing|3|Male|3|1|Sales Representative|1|Divorced|3041|0|No|11|5|3|3|4|3|0|2|Yes
497|21|Travel_Rarely|Sales|22|Technical Degree|3|Male|3|1|Sales Representative|3|Single|3447|1|No|11|3|2|3|3|2|1|2|No
498|44|Travel_Rarely|Research & Development|3|Other|4|Male|3|5|Manager|4|Married|19513|4|Yes|12|26|2|4|2|2|0|1|No
499|22|Travel_Rarely|Research & Development|6|Medical|1|Male|3|1|Research Scientist|3|Married|2773|0|No|20|3|3|3|2|2|2|2|No
500|33|Travel_Rarely|Sales|8|Marketing|3|Male|3|2|Sales Executive|3|Divorced|7104|0|No|12|6|3|3|5|0|1|2|No
501|32|Travel_Rarely|Research & Development|9|Life Sciences|1|Female|3|2|Research Scientist|4|Married|6322|1|Yes|12|6|2|2|6|4|0|5|No
502|30|Travel_Frequently|Research & Development|3|Medical|3|Female|3|1|Research Scientist|3|Divorced|2083|1|No|20|1|2|3|1|0|0|0|No
503|53|Travel_Rarely|Sales|1|Medical|4|Female|3|2|Sales Executive|1|Single|8381|7|No|20|18|2|4|14|7|8|10|No
504|34|Travel_Rarely|Research & Development|1|Life Sciences|2|Male|3|1|Research Scientist|4|Married|2691|1|No|12|10|4|2|10|9|8|8|No
505|45|Travel_Frequently|Sales|26|Life Sciences|1|Female|3|2|Sales Executive|1|Married|4286|2|No|14|5|4|3|1|1|0|0|Yes
506|26|Travel_Rarely|Research & Development|6|Life Sciences|3|Female|3|1|Laboratory Technician|4|Married|2659|1|Yes|13|3|2|3|3|2|0|2|No
507|37|Travel_Rarely|Research & Development|3|Other|3|Male|3|3|Manufacturing Director|3|Married|9434|1|No|15|10|2|3|10|7|7|8|No
508|29|Travel_Rarely|Sales|3|Medical|2|Female|3|2|Sales Executive|3|Married|5561|1|No|14|6|5|2|6|0|1|2|No
509|35|Travel_Rarely|Research & Development|6|Life Sciences|2|Male|1|2|Research Scientist|4|Single|6646|1|No|13|17|3|3|17|11|11|8|No
510|33|Travel_Frequently|Research & Development|6|Life Sciences|3|Male|3|2|Healthcare Representative|4|Divorced|7725|3|No|23|15|2|1|13|11|4|7|No
511|54|Travel_Rarely|Human Resources|19|Medical|3|Male|3|3|Human Resources|2|Married|10725|2|No|15|16|1|4|9|7|7|1|No
512|36|Travel_Rarely|Research & Development|9|Medical|2|Male|2|2|Manufacturing Director|2|Divorced|8847|2|Yes|11|13|2|3|3|2|0|2|No
513|27|Travel_Rarely|Research & Development|3|Medical|1|Male|2|1|Research Scientist|4|Single|2045|0|No|13|5|0|3|4|2|1|1|No
514|20|Travel_Rarely|Research & Development|10|Medical|4|Male|3|1|Research Scientist|3|Single|1009|1|Yes|11|1|5|3|1|0|1|1|Yes
515|33|Travel_Frequently|Research & Development|3|Life Sciences|1|Male|3|1|Research Scientist|1|Single|3348|1|Yes|11|10|3|3|10|8|9|7|Yes
516|35|Non-Travel|Research & Development|3|Life Sciences|3|Male|2|1|Laboratory Technician|3|Married|1281|1|No|18|1|3|3|1|0|0|0|No
517|23|Travel_Rarely|Research & Development|4|Medical|1|Male|4|1|Research Scientist|1|Married|2819|2|No|16|5|3|4|3|2|0|2|No
518|25|Travel_Rarely|Sales|8|Life Sciences|4|Male|4|2|Sales Executive|2|Married|4851|0|No|22|4|4|3|3|2|1|2|No
519|38|Travel_Rarely|Sales|7|Marketing|4|Female|2|2|Sales Executive|4|Single|4028|0|No|20|8|2|3|7|7|0|5|No
520|29|Travel_Frequently|Research & Development|1|Life Sciences|2|Male|1|1|Research Scientist|4|Divorced|2720|1|No|18|10|5|3|10|7|2|8|No
521|48|Travel_Rarely|Sales|2|Marketing|2|Male|4|2|Sales Executive|2|Married|8120|3|No|12|12|3|3|2|2|2|2|No
522|27|Travel_Frequently|Sales|3|Medical|4|Female|4|2|Sales Executive|4|Divorced|4647|1|Yes|20|6|3|3|6|5|0|4|No
523|37|Travel_Rarely|Research & Development|10|Life Sciences|4|Male|4|1|Research Scientist|4|Single|4680|3|No|17|4|2|3|1|0|0|0|No
524|50|Travel_Rarely|Research & Development|28|Medical|4|Male|4|1|Laboratory Technician|3|Married|3221|1|Yes|11|20|3|3|20|8|3|8|No
525|34|Travel_Rarely|Research & Development|9|Medical|4|Female|2|3|Healthcare Representative|2|Single|8621|1|No|14|9|3|4|8|7|7|7|No
526|24|Travel_Rarely|Sales|3|Life Sciences|1|Female|3|2|Sales Executive|3|Single|4577|9|No|14|4|3|3|2|2|2|0|Yes
527|39|Travel_Rarely|Research & Development|2|Technical Degree|4|Female|2|2|Healthcare Representative|3|Single|4553|1|No|11|20|4|3|20|7|11|10|No
528|32|Travel_Rarely|Sales|10|Marketing|4|Male|3|2|Sales Executive|4|Single|5396|1|No|12|10|2|2|10|7|0|8|No
529|50|Travel_Frequently|Sales|8|Technical Degree|2|Male|3|2|Sales Executive|3|Married|6796|3|Yes|14|18|4|3|4|3|1|3|Yes
530|38|Travel_Rarely|Research & Development|1|Life Sciences|2|Female|4|2|Healthcare Representative|4|Single|7625|0|No|13|10|4|2|9|7|1|8|No
531|27|Travel_Rarely|Research & Development|1|Life Sciences|3|Female|3|3|Manufacturing Director|1|Married|7412|1|No|11|9|3|3|9|7|0|7|No
532|32|Travel_Rarely|Research & Development|3|Life Sciences|3|Female|3|3|Research Director|4|Single|11159|3|No|15|10|6|3|7|7|7|7|No
533|47|Travel_Rarely|Sales|14|Marketing|4|Male|3|2|Sales Executive|1|Single|4960|2|No|12|20|2|3|7|7|1|7|No
534|40|Travel_Frequently|Sales|5|Life Sciences|4|Male|2|3|Sales Executive|1|Married|10475|5|Yes|21|20|2|3|18|13|1|12|No
535|53|Travel_Rarely|Research & Development|7|Life Sciences|3|Male|4|4|Research Director|3|Married|14814|3|No|19|32|3|3|5|1|1|3|No
536|41|Travel_Rarely|Human Resources|10|Human Resources|2|Male|2|5|Manager|4|Divorced|19141|3|No|15|23|2|2|21|6|12|6|No
537|60|Travel_Rarely|Sales|16|Marketing|1|Male|3|2|Sales Executive|1|Single|5405|8|No|14|10|1|3|2|2|2|2|No
538|27|Travel_Frequently|Research & Development|10|Life Sciences|4|Male|3|3|Manufacturing Director|1|Divorced|8793|1|No|21|9|4|2|9|7|1|7|No
539|41|Travel_Rarely|Human Resources|1|Human Resources|4|Male|2|5|Manager|3|Married|19189|1|No|12|22|3|3|22|7|2|10|No
540|50|Travel_Rarely|Sales|8|Marketing|4|Male|3|1|Sales Representative|2|Married|3875|7|No|15|4|2|3|2|2|2|2|No
541|28|Travel_Rarely|Research & Development|1|Life Sciences|1|Female|1|1|Research Scientist|2|Single|2216|7|Yes|13|10|4|3|7|7|3|7|Yes
542|36|Non-Travel|Research & Development|8|Life Sciences|1|Female|4|3|Research Director|1|Married|11713|9|No|14|10|2|3|8|7|0|5|No
543|38|Travel_Rarely|Research & Development|1|Life Sciences|3|Female|3|3|Manufacturing Director|3|Single|7861|4|Yes|14|10|4|4|1|0|0|0|No
